Joke,Episode,Guest,URL,Time,ID
"Call me crazy, but I take orders from Martians who send secret messages beamed out from the antenna at the top of the Empire State Building.",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h5m37s,66
A Georgia high school is planning to merge their formerly all black and all white proms into a single event. The theme of this June's dance? 'An Evening of Unbridled Race War',NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h5m54s,67
"A Florida man was arrested for stealing a truck filled with $76,000 worth of Campbell's soup.</p> <p>I, for one, hope this guy goes away for <i>'Mmm, mmm, good!'</i>",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h6m11s,68
My girlfriend and I have a deal where we have one celebrity that we can sleep with and it's not considered cheating. Mine is that woman who plays Madea.,NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h6m26s,69
"In Kansas, a gay-rights activist named Aaron Jackson paid $83,000 to buy a house across from the homophobic Westboro Baptist Church and had it painted rainbow colours. Mr. Jackson plans to recoup his investment by... well, actually there's no plan. Have fun living in a hideous house in Kansas across from some vicious bigots!",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h7m0s,70
Its Earth Day!</p> <p>The one day of the year where you can jerk off outside and nothing bad can happen!</p> <p>(I don't know what Earth Day is),NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h7m26s,71
A new study shows that most men can identify a gay man by his face alone.</p> <p>It's the face that's buried in another man's asshole.,NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h7m56s,72
"Apparently someone in Germany stole 5 metric tons of Nutella. Police haven't arrested anyone yet but they are questioning GÃ¼nther Hasbargen, the 700 pound man that smells like chocolate and hazelnuts who guards the Nutella storage facility.",NML S01E06,Larry King,ZpKgXcDNuo4,39m19s,73
I love the movie '42'. It's Chadwick Boseman like you've never seen him befo
(Content truncated due to size limit. Use page ranges or line ranges to read remaining content)
